Line,Strategy,Genotype,Simulated_Mutation,Simulation_Index,Focal_Variant,100-bp,1000-bp,10000-bp,100000-bp
CB_MA517,Strategy1,N2,DEL,1,INS,68,50,3,0
CB_MA517,Strategy1,N2,DEL,2,INS,70,40,2,0
CB_MA517,Strategy1,N2,DEL,3,INS,73,47,7,0
CB_MA517,Strategy1,N2,INS,1,DEL,84,74,61,0
CB_MA517,Strategy1,N2,INS,2,DEL,67,72,63,0
CB_MA517,Strategy1,N2,INS,3,DEL,84,73,66,0
CB_MA517,Strategy1,N2,INV,1,INV,0,42,22,22
CB_MA517,Strategy1,N2,INV,2,INV,0,43,21,24
CB_MA517,Strategy1,N2,INV,3,INV,0,41,18,28
CB_MA517,Strategy1,N2,WS270,None,INS,1,1,0,0
CB_MA517,Strategy1,N2,WS270,None,INV,1,1,0,0
CB_MA517,Strategy1,N2,WS270,None,DEL,2,1,0,0
CB_MA517,Strategy2,N2,DEL,1,INS,67,47,3,0
CB_MA517,Strategy2,N2,DEL,2,INS,70,39,3,0
CB_MA517,Strategy2,N2,DEL,3,INS,74,46,6,0
CB_MA517,Strategy2,N2,INS,1,DEL,83,74,55,0
CB_MA517,Strategy2,N2,INS,2,DEL,67,72,54,0
CB_MA517,Strategy2,N2,INS,3,DEL,83,70,58,0
CB_MA517,Strategy2,N2,INV,2,INV,0,42,18,24
CB_MA517,Strategy2,N2,INV,3,INV,0,40,19,28
CB_MA517,Strategy2,N2,WS270,None,INS,1,1,0,0
CB_MA517,Strategy2,N2,WS270,None,INV,1,1,0,0
CB_MA517,Strategy2,N2,WS270,None,DEL,2,1,0,0
CB_MA530,Strategy1,N2,DEL,1,INS,95,77,33,0
CB_MA530,Strategy1,N2,DEL,2,INS,100,82,31,0
CB_MA530,Strategy1,N2,DEL,3,INS,98,82,26,0
CB_MA530,Strategy1,N2,INS,1,DEL,100,99,96,0
CB_MA530,Strategy1,N2,INS,2,DEL,97,99,98,0
CB_MA530,Strategy1,N2,INS,3,DEL,100,92,98,0
CB_MA530,Strategy1,N2,INV,1,INV,0,51,14,24
CB_MA530,Strategy1,N2,INV,2,INV,0,56,17,28
CB_MA530,Strategy1,N2,INV,3,INV,0,57,13,29
CB_MA530,Strategy1,N2,WS270,None,INS,1,0,0,0
CB_MA530,Strategy1,N2,WS270,None,INV,1,0,0,0
CB_MA530,Strategy1,N2,WS270,None,DEL,2,0,0,0
CB_MA530,Strategy2,N2,DEL,1,INS,95,76,33,0
CB_MA530,Strategy2,N2,DEL,2,INS,98,81,31,0
CB_MA530,Strategy2,N2,DEL,3,INS,97,83,26,0
CB_MA530,Strategy2,N2,INS,1,DEL,100,99,95,0
CB_MA530,Strategy2,N2,INS,2,DEL,97,99,95,0
CB_MA530,Strategy2,N2,INS,3,DEL,100,92,97,0
CB_MA530,Strategy2,N2,INV,1,INV,0,48,14,24
CB_MA530,Strategy2,N2,INV,2,INV,0,54,14,28
CB_MA530,Strategy2,N2,INV,3,INV,0,57,15,29
CB_MA530,Strategy2,N2,WS270,None,INS,1,0,0,0
CB_MA530,Strategy2,N2,WS270,None,INV,1,0,0,0
CB_MA530,Strategy2,N2,WS270,None,DEL,2,0,0,0
CB_MA563,Strategy1,N2,DEL,1,INS,89,69,20,0
CB_MA563,Strategy1,N2,DEL,2,INS,96,74,20,0
CB_MA563,Strategy1,N2,DEL,3,INS,96,74,19,0
CB_MA563,Strategy1,N2,INS,1,DEL,100,99,94,0
CB_MA563,Strategy1,N2,INS,2,DEL,96,99,95,0
CB_MA563,Strategy1,N2,INS,3,DEL,100,93,97,0
CB_MA563,Strategy1,N2,INV,1,INV,0,46,13,24
CB_MA563,Strategy1,N2,INV,2,INV,0,54,18,27
CB_MA563,Strategy1,N2,INV,3,INV,0,52,12,29
CB_MA563,Strategy1,N2,WS270,None,INS,1,0,0,0
CB_MA563,Strategy1,N2,WS270,None,INV,1,0,0,0
CB_MA563,Strategy1,N2,WS270,None,DEL,2,0,0,0
CB_MA563,Strategy2,N2,DEL,1,INS,91,69,19,0
CB_MA563,Strategy2,N2,DEL,2,INS,96,72,17,0
CB_MA563,Strategy2,N2,DEL,3,INS,97,74,17,0
CB_MA563,Strategy2,N2,INS,1,DEL,100,99,94,0
CB_MA563,Strategy2,N2,INS,2,DEL,96,99,95,0
CB_MA563,Strategy2,N2,INS,3,DEL,100,93,96,0
CB_MA563,Strategy2,N2,INV,1,INV,0,46,11,24
CB_MA563,Strategy2,N2,INV,2,INV,0,54,17,27
CB_MA563,Strategy2,N2,INV,3,INV,0,52,16,29
CB_MA563,Strategy2,N2,WS270,None,INS,1,0,0,0
CB_MA563,Strategy2,N2,WS270,None,INV,1,0,0,0
CB_MA563,Strategy2,N2,WS270,None,DEL,2,0,0,0
CB_MA566,Strategy1,N2,DEL,1,INS,92,71,27,0
CB_MA566,Strategy1,N2,DEL,2,INS,87,77,26,0
CB_MA566,Strategy1,N2,DEL,3,INS,94,74,24,0
CB_MA566,Strategy1,N2,INS,1,DEL,97,96,95,0
CB_MA566,Strategy1,N2,INS,2,DEL,95,98,94,0
CB_MA566,Strategy1,N2,INS,3,DEL,99,97,98,0
CB_MA566,Strategy1,N2,INV,1,INV,0,45,17,24
CB_MA566,Strategy1,N2,INV,2,INV,0,50,15,27
CB_MA566,Strategy1,N2,INV,3,INV,0,49,9,29
CB_MA566,Strategy1,N2,WS270,None,INS,1,0,0,0
CB_MA566,Strategy1,N2,WS270,None,INV,1,0,0,0
CB_MA566,Strategy1,N2,WS270,None,DEL,2,0,0,0
CB_MA566,Strategy2,N2,DEL,1,INS,90,69,28,0
CB_MA566,Strategy2,N2,DEL,2,INS,87,74,29,0
CB_MA566,Strategy2,N2,DEL,3,INS,94,75,22,0
CB_MA566,Strategy2,N2,INS,1,DEL,97,96,93,0
CB_MA566,Strategy2,N2,INS,2,DEL,95,97,90,0
CB_MA566,Strategy2,N2,INS,3,DEL,99,96,96,0
CB_MA566,Strategy2,N2,INV,1,INV,0,44,13,24
CB_MA566,Strategy2,N2,INV,2,INV,0,47,18,26
CB_MA566,Strategy2,N2,INV,3,INV,0,48,12,29
CB_MA566,Strategy2,N2,WS270,None,INS,0,0,0,0
CB_MA566,Strategy2,N2,WS270,None,INV,0,0,0,0
CB_MA566,Strategy2,N2,WS270,None,DEL,1,0,0,0
Hawaii,Strategy1,Hawaii,DEL,1,INS,93,54,7,0
Hawaii,Strategy1,Hawaii,DEL,2,INS,97,60,10,0
Hawaii,Strategy1,Hawaii,DEL,3,INS,97,63,7,0
Hawaii,Strategy1,Hawaii,INS,1,DEL,107,96,88,0
Hawaii,Strategy1,Hawaii,INS,2,DEL,103,90,92,0
Hawaii,Strategy1,Hawaii,INS,3,DEL,112,93,88,0
Hawaii,Strategy1,Hawaii,INV,1,INV,0,41,8,24
Hawaii,Strategy1,Hawaii,INV,2,INV,0,48,13,26
Hawaii,Strategy1,Hawaii,INV,3,INV,0,48,17,28
Hawaii,Strategy1,Hawaii,WS270,None,INS,10,1,0,0
Hawaii,Strategy1,Hawaii,WS270,None,INV,10,1,0,0
Hawaii,Strategy1,Hawaii,WS270,None,DEL,25,2,0,0
Hawaii,Strategy2,Hawaii,DEL,1,INS,94,53,8,0
Hawaii,Strategy2,Hawaii,DEL,2,INS,94,60,11,0
Hawaii,Strategy2,Hawaii,DEL,3,INS,97,64,6,0
Hawaii,Strategy2,Hawaii,INS,1,DEL,106,96,89,0
Hawaii,Strategy2,Hawaii,INS,2,DEL,102,87,92,0
Hawaii,Strategy2,Hawaii,INS,3,DEL,112,93,87,0
Hawaii,Strategy2,Hawaii,INV,1,INV,0,42,10,24
Hawaii,Strategy2,Hawaii,INV,2,INV,0,45,14,27
Hawaii,Strategy2,Hawaii,INV,3,INV,0,51,18,28
Hawaii,Strategy2,Hawaii,WS270,None,INS,11,0,0,0
Hawaii,Strategy2,Hawaii,WS270,None,INV,11,0,0,0
Hawaii,Strategy2,Hawaii,WS270,None,DEL,26,1,0,0
JU1088,Strategy1,JU1088,DEL,1,INS,93,63,15,0
JU1088,Strategy1,JU1088,DEL,2,INS,97,67,11,0
JU1088,Strategy1,JU1088,DEL,3,INS,97,71,10,0
JU1088,Strategy1,JU1088,INS,1,DEL,101,97,93,0
JU1088,Strategy1,JU1088,INS,2,DEL,97,93,93,0
JU1088,Strategy1,JU1088,INS,3,DEL,100,92,93,0
JU1088,Strategy1,JU1088,INV,1,INV,0,45,11,23
JU1088,Strategy1,JU1088,INV,2,INV,0,53,16,27
JU1088,Strategy1,JU1088,INV,3,INV,0,48,13,27
JU1088,Strategy1,JU1088,WS270,None,INS,6,1,0,0
JU1088,Strategy1,JU1088,WS270,None,INV,6,1,0,0
JU1088,Strategy1,JU1088,WS270,None,DEL,9,1,0,0
JU1088,Strategy2,JU1088,DEL,1,INS,94,63,18,0
JU1088,Strategy2,JU1088,DEL,2,INS,96,66,11,0
JU1088,Strategy2,JU1088,DEL,3,INS,98,69,10,0
JU1088,Strategy2,JU1088,INS,1,DEL,100,96,91,0
JU1088,Strategy2,JU1088,INS,2,DEL,97,93,93,0
JU1088,Strategy2,JU1088,INS,3,DEL,99,91,93,0
JU1088,Strategy2,JU1088,INV,1,INV,0,43,12,23
JU1088,Strategy2,JU1088,INV,2,INV,0,55,16,27
JU1088,Strategy2,JU1088,INV,3,INV,0,48,13,27
JU1088,Strategy2,JU1088,WS270,None,INS,7,0,0,0
JU1088,Strategy2,JU1088,WS270,None,INV,7,0,0,0
JU1088,Strategy2,JU1088,WS270,None,DEL,10,0,0,0
N2,Strategy1,N2,DEL,1,INS,90,83,52,0
N2,Strategy1,N2,DEL,2,INS,93,80,50,0
N2,Strategy1,N2,DEL,3,INS,91,85,52,0
N2,Strategy1,N2,INS,1,DEL,96,97,95,0
N2,Strategy1,N2,INS,2,DEL,96,95,97,0
N2,Strategy1,N2,INS,3,DEL,95,95,97,0
N2,Strategy1,N2,INV,1,INV,0,43,12,23
N2,Strategy1,N2,INV,2,INV,0,53,15,28
N2,Strategy1,N2,INV,3,INV,0,51,13,29
N2,Strategy1,N2,WS270,None,INS,0,0,0,0
N2,Strategy1,N2,WS270,None,INV,0,0,0,0
N2,Strategy1,N2,WS270,None,DEL,0,0,0,0
N2,Strategy2,N2,DEL,1,INS,89,83,52,0
N2,Strategy2,N2,DEL,2,INS,93,82,46,0
N2,Strategy2,N2,DEL,3,INS,90,84,50,0
N2,Strategy2,N2,INS,1,DEL,96,95,95,0
N2,Strategy2,N2,INS,2,DEL,94,94,97,0
N2,Strategy2,N2,INS,3,DEL,93,93,96,0
N2,Strategy2,N2,INV,1,INV,0,40,13,23
N2,Strategy2,N2,INV,2,INV,0,49,16,28
N2,Strategy2,N2,INV,3,INV,0,50,18,29
N2,Strategy2,N2,WS270,None,INS,0,0,0,0
N2,Strategy2,N2,WS270,None,INV,0,0,0,0
N2,Strategy2,N2,WS270,None,DEL,0,0,0,0
PB306,Strategy1,PB306,DEL,1,INS,98,68,20,0
PB306,Strategy1,PB306,DEL,2,INS,98,68,27,0
PB306,Strategy1,PB306,DEL,3,INS,92,70,26,0
PB306,Strategy1,PB306,INS,1,DEL,99,92,89,0
PB306,Strategy1,PB306,INS,2,DEL,102,91,92,0
PB306,Strategy1,PB306,INS,3,DEL,105,91,94,0
PB306,Strategy1,PB306,INV,1,INV,0,46,13,24
PB306,Strategy1,PB306,INV,2,INV,0,49,16,29
PB306,Strategy1,PB306,INV,3,INV,0,50,10,26
PB306,Strategy1,PB306,WS270,None,INS,7,0,0,0
PB306,Strategy1,PB306,WS270,None,INV,7,0,0,0
PB306,Strategy1,PB306,WS270,None,DEL,14,0,0,0
PB306,Strategy2,PB306,DEL,1,INS,98,66,20,0
PB306,Strategy2,PB306,DEL,2,INS,96,66,25,0
PB306,Strategy2,PB306,DEL,3,INS,92,70,25,0
PB306,Strategy2,PB306,INS,1,DEL,99,90,86,0
PB306,Strategy2,PB306,INS,2,DEL,101,91,91,0
PB306,Strategy2,PB306,INS,3,DEL,103,89,93,0
PB306,Strategy2,PB306,INV,1,INV,0,46,11,24
PB306,Strategy2,PB306,INV,2,INV,0,51,19,28
PB306,Strategy2,PB306,INV,3,INV,0,52,9,25
PB306,Strategy2,PB306,WS270,None,INS,7,0,0,0
PB306,Strategy2,PB306,WS270,None,INV,7,0,0,0
PB306,Strategy2,PB306,WS270,None,DEL,14,0,0,0
PB_MA445,Strategy1,PB306,DEL,1,INS,98,65,23,0
PB_MA445,Strategy1,PB306,DEL,2,INS,85,65,22,0
PB_MA445,Strategy1,PB306,INS,1,DEL,102,92,88,0
PB_MA445,Strategy1,PB306,INS,2,DEL,100,93,91,0
PB_MA445,Strategy1,PB306,INS,3,DEL,106,90,93,0
PB_MA445,Strategy1,PB306,INV,1,INV,0,42,7,25
PB_MA445,Strategy1,PB306,INV,2,INV,0,53,17,28
PB_MA445,Strategy1,PB306,WS270,None,INS,8,0,0,0
PB_MA445,Strategy1,PB306,WS270,None,INV,8,0,0,0
PB_MA445,Strategy1,PB306,WS270,None,DEL,16,0,0,0
PB_MA445,Strategy2,PB306,DEL,1,INS,97,65,23,0
PB_MA445,Strategy2,PB306,DEL,2,INS,96,63,26,0
PB_MA445,Strategy2,PB306,INS,1,DEL,99,92,86,0
PB_MA445,Strategy2,PB306,INS,2,DEL,99,92,91,0
PB_MA445,Strategy2,PB306,INS,3,DEL,105,88,92,0
PB_MA445,Strategy2,PB306,INV,1,INV,0,44,9,25
PB_MA445,Strategy2,PB306,INV,2,INV,0,54,17,28
PB_MA445,Strategy2,PB306,WS270,None,INS,8,0,0,0
PB_MA445,Strategy2,PB306,WS270,None,INV,8,0,0,0
PB_MA445,Strategy2,PB306,WS270,None,DEL,15,0,0,0
PB_MA459,Strategy1,PB306,DEL,1,INS,97,61,25,0
PB_MA459,Strategy1,PB306,DEL,2,INS,94,66,30,0
PB_MA459,Strategy1,PB306,DEL,3,INS,87,70,21,0
PB_MA459,Strategy1,PB306,INS,1,DEL,97,87,90,0
PB_MA459,Strategy1,PB306,INS,2,DEL,95,86,92,0
PB_MA459,Strategy1,PB306,INS,3,DEL,96,88,91,0
PB_MA459,Strategy1,PB306,INV,1,INV,0,46,12,24
PB_MA459,Strategy1,PB306,INV,2,INV,0,46,17,29
PB_MA459,Strategy1,PB306,INV,3,INV,0,12,2,10
PB_MA459,Strategy1,PB306,WS270,None,INS,8,0,0,0
PB_MA459,Strategy1,PB306,WS270,None,INV,8,0,0,0
PB_MA459,Strategy1,PB306,WS270,None,DEL,15,0,0,0
PB_MA459,Strategy2,PB306,DEL,1,INS,95,59,25,0
PB_MA459,Strategy2,PB306,DEL,2,INS,91,64,29,0
PB_MA459,Strategy2,PB306,DEL,3,INS,86,68,20,0
PB_MA459,Strategy2,PB306,INS,1,DEL,94,86,85,0
PB_MA459,Strategy2,PB306,INS,2,DEL,93,85,90,0
PB_MA459,Strategy2,PB306,INS,3,DEL,95,87,87,0
PB_MA459,Strategy2,PB306,INV,1,INV,0,47,10,24
PB_MA459,Strategy2,PB306,INV,2,INV,0,49,18,29
PB_MA459,Strategy2,PB306,INV,3,INV,0,49,15,26
PB_MA459,Strategy2,PB306,WS270,None,INS,8,0,0,0
PB_MA459,Strategy2,PB306,WS270,None,INV,8,0,0,0
PB_MA459,Strategy2,PB306,WS270,None,DEL,14,0,0,0
QX1211,Strategy1,QX1211,DEL,1,INS,101,34,0,0
QX1211,Strategy1,QX1211,DEL,2,INS,108,35,1,0
QX1211,Strategy1,QX1211,DEL,3,INS,105,39,2,0
QX1211,Strategy1,QX1211,INS,1,DEL,107,91,77,0
QX1211,Strategy1,QX1211,INS,2,DEL,111,86,84,0
QX1211,Strategy1,QX1211,INS,3,DEL,112,81,85,0
QX1211,Strategy1,QX1211,INV,1,INV,0,41,8,24
QX1211,Strategy1,QX1211,INV,2,INV,0,41,8,28
QX1211,Strategy1,QX1211,INV,3,INV,0,9,2,1
QX1211,Strategy1,QX1211,WS270,None,INS,23,1,0,0
QX1211,Strategy1,QX1211,WS270,None,INV,23,1,0,0
QX1211,Strategy1,QX1211,WS270,None,DEL,42,3,0,0
QX1211,Strategy2,QX1211,DEL,1,INS,98,32,0,0
QX1211,Strategy2,QX1211,DEL,2,INS,108,33,1,0
QX1211,Strategy2,QX1211,DEL,3,INS,105,38,2,0
QX1211,Strategy2,QX1211,INS,1,DEL,107,88,77,0
QX1211,Strategy2,QX1211,INS,2,DEL,109,85,81,0
QX1211,Strategy2,QX1211,INS,3,DEL,112,81,85,0
QX1211,Strategy2,QX1211,INV,1,INV,0,45,10,23
QX1211,Strategy2,QX1211,INV,2,INV,0,42,10,28
QX1211,Strategy2,QX1211,INV,3,INV,0,43,10,26
QX1211,Strategy2,QX1211,WS270,None,INS,24,1,0,0
QX1211,Strategy2,QX1211,WS270,None,INV,24,1,0,0
QX1211,Strategy2,QX1211,WS270,None,DEL,42,3,0,0
